Start,End,Date text,Date (for research purposes only),Region,Country,Lat,Long,Basis,Headline,Description,Sources,
2014,2014,2014,,Central Asia,"Kyrgyzstan, Tajikistan",39.7925,70.6377,Casualty,Kyrgyzstan and Tajikistan security clash over border dispute,"Security forces in Kyrgyzstan and Tajikistan clash over a border dispute. Among the targets of the violence, which leave security forces wounded on both sides, are a small dam and electricity substation inside Kyrgyzstan. The local grievances include disputes over access to pasture and water resources.",Trilling 2014,
2017,2017,2017,,Western Asia,Syria,36.2308,38.0182,Casualty,Syrian forces regain control from the Islamic State over water treatment and pumping plants,Syrian governmental forces and their allies regain control from the Islamic State of the water treatment and pumping plants for the strategic town of al Khafsa on the Euphrates River.,TRT World 2017,
2019,2019,2019,3/23/2019,Sub-Saharan Africa,Mali,14.887066,-4.070025,Trigger,More than 130 killed in Mali in conflict between hunters and herders over land and water,"More than 130 people are killed in the conflict between hunter and herder communities in Mali. In this instance, Dogon hunters are accused of attacking Fulani herders.",TRT World 2019; Insiders Newsletter 2019,
-430,-430,430 BC,,Southern Europe,Greece,37.95,23.6333,Weapon,Spartans poison cisterns of Piraeus,"During the second year of the Peloponnesian War, a plague breaks out in Athens. The Spartans are accused of poisoning the cisterns of the Piraeus, the source of most of Athens' water.",Tschanz 2006,
1985,1985,1985,,North America,United States,36.3408,-92.3804,Weapon,Cult plans to poison US waters,"Law enforcement authorities discover that a small survivalist group in the Ozark Mountains of Arkansas known as The Covenant, the Sword, and the Arm of the Lord (CSA) has acquired a drum containing 30 gallons of potassium cyanide, with the apparent intent to poison water supplies in New York, Chicago, and Washington, D.C. CSA members believe that such attacks would make the Messiah return more quickly by punishing unrepentant sinners. The objective appears to be mass murder in the name of a divine mission rather than to change government policy. The amount of poison possessed by the group is believed to have been insufficient to contaminate the water supply of even one city.",Tucker 2000; Nuclear Threat Initiative (NTI) 2005,
1981,1982,1981-1982,,Sub-Saharan Africa,"Angola, Namibia",-12.5465,17.9324,Casualty,Namibia targets Angola pipeline,"Water infrastructure, including dams and the major Kunene-Cuvelai pipeline, is targeted during the conflicts in Namibia and Angola in the 1980s.",Turton 2005,
2012,2012,2012,,Southern Asia,"India, Pakistan",34.3957,74.587,"Trigger, Casualty",Pakistani militants attack water systems in Kashmir,"Violence erupts in the latest event in the dispute between Pakistan and India over the waters of the Indus Basin. Pakistani militants attack and sabotage water systems, flood protection works, and dams in the Wular Lake region of northern Kashmir. They attack engineers and workers and detonate explosives at the unfinished Tulbul Navigation Lock/Wular Dam. Pakistan claims the new dam violates the Indus Water Treaty by cutting flows to Pakistan.",Ul Hassan 2012,
2006,2006,2006,,Sub-Saharan Africa,Democratic Republic of the Congo,-3.45099,21.7387,Casualty,Water utility systems destroyed during conflict in Congo,"During the long-running conflict in the Congo, many water utility systems are attacked and destroyed. By 2006, the World Bank estimates that at least one-third of water utility installations have been looted and completely destroyed.",UN Environmental Program (UNEP) 2011,
2011,2011,2011,,Northern Africa,Libya,26.3351,17.2283,Casualty,Multiple attacks on Libyan water networks disrupt supply.,"NATO bombs a plant that builds pipelines for the Great Manmade River project that carries water from southern groundwater to coastal cities. Major water networks are disrupted in this conflict, which affects access to safe drinking water, sanitation, and hygiene throughout Libya. Armed groups attack water wells cutting off water to civilians.",UN Human Rights Council 2016,
2017,2017,2017,,Northern Africa,Sudan,11.6318,25.3895,Trigger,Clashes in Darfur between farmers and herders over water access result in deaths,At least 70 people have been killed in the past few months in clashes between farmers and herders over access to water resources and land in the southern part of Darfur.,UN News Centre 2017,
2013,2013,2013,,Sub-Saharan Africa,Congo,-1.11532,29.0327,Casualty,"Water supply for the city of Kitchanga, Congo cut off resulting in deaths","The water supply for the city of Kitshanga, Congo is cut off in clashes between DRC armed forces and the Alliance des Patriotes pour un Congo Libre et Souverain (APCLS). The violence kills tens of civilians, including a humanitarian worker, wounds hundreds of people, and displaces thousands.  ",UN News Service 2013,
2018,2018,2018,10/23/2018,Eastern Europe,Ukraine,48.356457,37.927685,Casualty,"Water company truck hits landmine on the way to repair water pipes in Ukraine, injuring two","A water company truck driven by two employees strikes a land mine on its way to an emergency repair of damages to a water pipe due to attacks. Two water utility employees are injured. The water pipe services approximately 45,000 people with water.",UN Office for the Coordination of Humanitarian Affairs (UNOCHA) 2018a,
2007,2007,2007,,Sub-Saharan Africa,Burkina Faso,11.6133,-0.982778,Trigger,Conflicts in Burkina Faso,"Declining rainfall has led to growing fights between animal herders and farmers with competing needs. In August, 2007 people are forced to flee their homes by fighting in Zounweogo province.",UN Office for the Coordination of Humanitarian Affairs (UNOCHA) 2007,
2017,2017,2017,,Eastern Europe,Ukraine,48.7028,36.7713,Casualty,Persistent attacks on water facility in eastern Ukraine leave millions without reliable safe water,Intentional and persistent attacks on critical electricity and water facilities in Eastern Ukraine leave millions without reliable access to safe water.,UN Office for the Coordination of Humanitarian Affairs (UNOCHA) 2017; International Committee for the Red Cross (ICRC) 2017,
2014,2014,2014,,Western Asia,Iraq,33.3086,43.7724,Weapon,Islamic State uses Falluja Dam as a weapon,"Islamic State closes the Fallujah Dam floodgates and diverts water over an irrigation channel into a side valley, inundating land up to 100km away and placing parts of the city of Abu Ghraib under up to four meters of water. More than 10,000 houses and 200 square kilometers of farmland are flooded and extensive livestock killed. Water for millions of people in the cities of Karbala, Najaf, and Babil is cut off for a time.",UN Security Council 2017,
2014,2014,2014,,Western Asia,Iraq,36.2742,43.3774,Weapon,Islamic State blocks access to water ,"In Iraq, Islamic State blocks access to water in the predominantly Christian town of Qaraqosh (also known as Bakhdida), take over farms and agricultural land, and expel most of the 50,000 residents.",UN Security Council 2017,
2014,2014,2014,,Western Asia,"Syria, Iraq",36.1845,37.1218,Weapon,"Islamic State contaminates drinking water supplies, Syria","Islamic State deliberately contaminates drinking water with crude oil in the Balad district of the Salahaddin Governorate. Poisoned water supplies are also reported from Aleppo, Deir ez Zor, Raqqa, and  Baghdad.",UN Security Council 2017,
2015,2015,2015,,Western Asia,Iraq,33.4344,43.2653,Weapon,Islamic State cuts off irrigation water,"Following the capture of Ramadi Dam, the Islamic State cuts water for irrigation systems and treatment plants in the predominantly Shiite downstream provinces of Babil, Karbala, Najaf and Qadisiya, threatening Iraqi food production.",UN Security Council 2017,
2016,2016,2016,,Northern Africa,Libya,31.1897,16.5702,Casualty,Islamic State militants raid Great Manmade River Project pumping station,"Around 60 Islamic State militants raid the Great Manmade River (GMR) project station in Ash Shwayrif, southwest of Sirte. This system provides water to the Libyan Sahara and the northern cities of Benghazi, Sirte, and Tripoli.",UN Security Council 2017,
2003,2003,2003,,Western Asia,Iraq,33.3271,44.3903,Casualty,Water systems damaged in US-Iraq war,"During the US-led invasion of Iraq, water systems are reportedly damaged or destroyed by different parties, and major dams are military objectives of the US forces. Damage directly attributable to the war includes vast segments of the water distribution system and the Baghdad water system, damaged by a missile.",UNICEF 2003; Booth 2003,
2015,2015,2015,,Western Asia,Syria,36.2323,38.0229,Casualty,"Russian Federation forces bomb water treatment facility in Aleppo, Syria","Russian Federation forces bomb the al-Khafsa water treatment facility in the city of Aleppo, reportedly mistaking it for an oil production facility. The treatment plant draws water from the Euphrates River and is called ""one of the most important in Syria, producing an average of 18 million litres of drinking water daily."" According to UNICEF, ""The bombing caused severe damage and cut off piped water supplies on which approximately 3.5 million people depend."" Water pumping operations have since been partially restored, but more than 1.4 million people in rural Aleppo continue to suffer interruptions to their supply.",UNICEF 2015; Triebert 2015,
2016,2016,2016,,Western Asia,Syria,33.5138,36.2765,Casualty,"Disruption of electrical system cuts power to water supply in Damascus, Syria","Attacks on Syrian electricity transmission stations cut power needed for water pumping to the eastern and western parts of Damascus. Authorities temporarily restore power five days later, but new fighting again cuts water to the city.",UNICEF 2016,
2018,2018,2018,,Sub-Saharan Africa,Ethiopia,7.54604,40.6347,Casualty,More than 70 water systems damaged in Ethiopia related to violent conflicts,At least 76 water systems have been damaged by the ongoing conflict in the Oromia region of Ethiopia. The larger conflict leading to these casualties is between different ethnic groups and has displaced hundreds of thousands of people.,UNICEF 2018,
1989,1989,1989,,North America,United States,38.4455,-121.823,Casualty,Water and other ecological threats used as justification for attack on cattle company,"A fire is set in a cattle company building outside of Sacramento, California, causing hundreds of thousands of dollars in damage. An unidentified caller claiming to be part of Earth First! states he set the fire ""because we are opposed to the livestock industry because it causes irreparable damage to the environment by putting chemicals in food and water and destroying natural habitat for wildlife.""",United Press International (UPI) 1989,
2013,2013,2013,,Latin America and the Caribbean,Colombia,5.34562,-72.4069,Trigger,Colombian demostration over water treatment plant turns violent,"Violence breaks out in the town of Yopal, Colombia, which has been without water for nearly two years following the destruction of a water treatment plant by a landslide. Demonstrations at government offices and offices of the water company lead to injuries and arrests.",United Press International (UPI) 2013,
2018,2018,2018,,Western Asia,Yemen,14.7909,42.9709,Casualty,Airstrikes damage water and sanitation infrastructure ,"Airstrikes over several days in July in the city of Al-Hudaydah, Yemen, damage water and sanitation infrastructure, including many drinking water wells.",UNOCHA and UNOCHA-Yemen 2018; Algohbary 2018; Al-Rodaini 2018,
1944,1944,1944,,Western Europe,Italy,41.4071,13.8721,Weapon,Germans use Italian rivers against Allies,"German forces use waters from the Isoletta Dam (Liri River, Italy) in January and February to successfully destroy British assault forces crossing the Garigliano River (downstream of Liri River). The German Army then dam the Rapido River, flooding a valley occupied by the American Army.",US Army Corps of Engineers 1953,
1944,1944,1944,,Western Europe,France,49.2163,-1.50496,Weapon,Germans flood Ay River,"Germans flood the Ay River in France in July 1944, creating a lake two meters deep and several kilometers wide, slowing an advance on Saint-Lô, a German communications center in Normandy.",US Army Corps of Engineers 1953,
1944,1944,1944,,Western Europe,"France, Germany",48.7003,7.9311,Weapon,Germans flood Ill River Valley,"Germans flood the Ill River Valley during the Battle of the Bulge (winter 1944-45) creating a lake 16 kilometers long, 3-6 kilometers wide, and 1-2 meters deep, greatly delaying the American Army's advance toward the Rhine.",US Army Corps of Engineers 1953,
1951,1951,1951,,Eastern Asia,North Korea,38.1172,127.778,"Weapon, Casualty",North Korea floods Pukhan Valley,North Korea releases flood waves from the Hwachon Dam damaging floating bridges operated by UN troops in the Pukhan Valley. The US Navy then sends planes to destroy the spillway crest gates.,US Army Corps of Engineers 1953,
1944,1944,1944,,Western Europe,Italy,41.3944,13.0689,Weapon,Germany floods Pontine Marshes,"The German army floods the Pontine Marches, on the coast of Italy southeast of Rome, by stopping pumps and opening dikes, in order to disrupt Allied forces who had established a beachhead at Anzio, Italy. Allied forces are surrounded by German artillery and pinned down for months by heavy shelling. The purpose of the flooding is to bring mosquitoes and malaria, ""deliberately introduced as an act of biological warfare."" This has a limited military impact, but devastates the local population, which the Third Reich had wished to punish for disloyalty.",US Army Corps of Engineers 1953; Evans 2009,
1998,1998,1998,,Latin America and the Caribbean,Puerto Rico,18.2208,-66.5901,"Trigger, Casualty",Major Puerto Rican aqueduct project is attacked,"A group called the Boricua Popular Army (Macheteros) claimes responsibility for the bombing of a major aqueduct construction project in Puerto Rico, stating the attack is the initiation of an effort to defend Puerto Rico's natural resources from the government. The explosion causes significant damage to the project.",US Department of Justice 1998; Associated Press (AP) 1999a; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018  ID. 199803310002,
2002,2002,2002,,Sub-Saharan Africa,Cote D'Ivoire,7.82315,-5.81122,"Trigger, Casualty","Youths destroy local water, electric, and telecommunication facilities in Cote d'lvoire","On October 10, youths claiming to be members of the Group of Patriots for Peace (GPP) destroy facilities of the Ivoirian Water Distribution Company, the Ivoirian Electricity Company, and Côte d'Ivoire Telecommunications. Demonstrators say they were protesting the ""free"" supply of water, electricity, and telephone in rebel-controlled areas.",US Department of State 2004,
2002,2002,2002,,Sub-Saharan Africa,Cote D'Ivoire,7.0159,-7.48439,Casualty,Four wells found with human remains in Cote d'lvoire,"Conflict between the government of Laurent Gbagbo and opposing rebel forces leads to extensive violence and regional conflict. In late September 2002, there are reports of several mass graves discovered in the Bangolo. In Zeregbo and Bahably, four water wells are found with human remains. Early reports indicate that western rebel groups who captured the area killed the persons in the mass graves and wells between December 2002 and January 2003.",US Department of State 2004,
2004,2004,2004,,Sub-Saharan Africa,Cote D'Ivoire,5.39224,-4.07751,Trigger,Riots over water shortage kill prisoners,"There are two incidents in early November at Abidjan's main jail, La Maison d'arrêt et de correction d'Abidjan (MACA) , in which prisoners are killed. The first incident is sparked by a lengthy water shortage; prisoners reportedly had not had water for 5 days except for small rations of drinking water. At least 7 prisoners die and 30 are injured in the ensuing riots. U.N. human rights officials said they were investigating the riot and could not give a final death toll.",US Department of State 2005,
2004,2004,2004,,Sub-Saharan Africa,Cote D'Ivoire,7.68896,-5.01294,Weapon,Government shuts off electricity and water supplies in northern Cote d'lvoire,"On November 4, the army carries out ""Operation Dignity"" and mounts surprise attacks on Bouake, stronghold of opposition forces and the largest city in the north, shattering an 18-month ceasefire. The Government cuts off electricity and water supplies to the north the day before the attacks. They remain off for about a week.",US Department of State 2005,
1908,1909,1908-1909,,North America,United States,36.3692,-89.4054,Trigger,Violence over fishing in Tennessee,"Violence, including a murder, directed against agents of a land company that claims title to Reelfoot Lake in northwestern Tennessee who attempt to levy charges for fish taken and threaten to drain the lake for agriculture.",Vanderwood 1969,
2016,2016,2016,,Western Asia,Syria,35.0285,38.5721,"Weapon, Casualty",Intentional attacks on water infrastructure,Control over power and water infrastructure and intentional attacks on that infrastructure are being used as  weapons in the civil war in Syria. Officials estimate there has been a 50 percent reduction in access to safe water in the country since the war began. ,Vidal 2016,
1992,1992,1992,,Central Asia,"Uzbekistan, Turkmenistan",37.5534,66.3898,"Trigger, Casualty",Violent raids target water infrastructure between Uzbekistan and Turkmenistan,"The Tyuyamuyun reservoir in the delta of the Amu Darya is a point of contention between Uzbekistan and Turkmenistan. Violence occurrs in 1992 over the re-direction of drainage waters and raids by both sides to cut off pipes and irrigation canals. Today, the Tyuyamuyun remains one of several disputed areas in continuing water dispute with Uzbekistan.",Votrin 2003,
1997,1997,1997,,Central Asia,"Kyrgyzstan, Uzbekistan",41.9023,72.8661,"Trigger, Weapon",Uzbekistani troops guard reservoirs along border,"Continued serious water tensions between Kyrgyzstan and Uzbekistan lead to the deployment of 130,000 Uzbekistani troops on the Kyrgyz border to guard reservoirs straddling the two countries. Uzbekistan accuses Kyrgyzstan of releasing too much water from the Toktogul reservoir. Kyrgyzstan, through media leak, hints that in case the reservoir would be blown up, the resulting flood would sweep away Uzbekistan's Ferghana and Zeravshan Valleys.",Votrin 2003,
1991,1991,1991,3/1/1991,Western Asia,Iraq,30.525795,47.77385,Casualty,"During Persian Gulf War, allied forces attack and destroy urban water and sanitation facilities in Basra, Iraq","During the Persian Gulf War, Allied forces target water and sanitation facilities in Iraq's second-largest city, Basra. The damage is unrepairable. ",Vulliamy 1991; Middle East Watch (MEW) 1991a; Middle East Watch (MEW) 1991b,
2012,2012,2012,,Sub-Saharan Africa,Somalia,-0.36,42.54,Casualty,Somali insurgents poison peacekeepers' well,"Somali Al Shabaab insurgents poison a well and damage water infrastructure near the port city of Kismayo, Somalia. Insurgents are fighting against Kenyan peacekeeping troops participating in the African Union mission in Somalia.",Wabala 2012,
1887,1887,1887,,North America,United States,41.1207,-84.5875,"Trigger, Casualty",Mob dynamites Ohio reservoir,"Dynamiting of a canal reservoir in Paulding County, Ohio by a mob regarding it as a health hazard. State Militia called out to restore order.",Walters 1948,
2012,2012,2012,,Southern Asia,India,12.4246,76.5722,Trigger,Injuries during protest over dam releases in India's Cauvery River,"Thousands of farmers in Karnataka try to prevent the release of water from two dams (Krishna Raja Sagar and Kabini) on the Kaveri River. Injuries to protestors and police are reported. The water releases are ordered by the Indian Supreme Court, which requires Karnataka to deliver water downstream state of Tamil Nadu despite severe drought. The dispute continues later in the year when Karnataka again halts releases.","Walton 2012; Indian Express, The 2012",
2012,2012,2012,,Northern Africa,Libya,32.8764,13.1875,Weapon,Gaddafi cuts of water to Libya's capital,"During the 2011 Libyan Civil War, forces loyal to dictator Muammar Gaddafi gain control of a water operations center and cut off water supply to the capital. The system controls Libya's Great Manmade River""a system of pumps, pipes, and canals that brings water from distant aquifers to Tripoli and other cities. Half the country is left without running water, prompting the UN and neighboring countries to mobilize tanker ships to deliver water to coastal cities.",Walton 2012; United Press International (UPI) 2011,
2010,2010,2010,,Southern Asia,Pakistan,25.8943,68.5247,Weapon,Severe flooding strengthens militant groups in Pakistan,Militant groups in Pakistan take advantage of severe flooding to reorganize and gain political power. Military resources in the country have been diverted to humanitarian relief efforts.,Waraich 2010,
2002,2002,2002,,Latin America and the Caribbean,Colombia,4.52,-73.74,Casualty,Colombian rebels bomb dam,Colombian rebels in January damage a gate valve in the dam that supplies most of Bogota's drinking water. Revolutionary Armed Forces of Colombia (FARC) detonate an explosive device planted on a German-made gate valve located inside a tunnel in the Chingaza Dam.,Waterweek 2002,
2016,2016,2016,,Latin America and the Caribbean,Honduras,15.3208,-86.2536,"Trigger, Casualty",Hundreds of activists killed,"Hundreds of environmental activists in Latin America have been killed in recent years. For example, in 2016, Berta Cáceres -- a prize winning activist working to stop development of the internationally funded Agua Zarca hydroelectric dam on the Gualcarque river -- is murdered after years of death threats and state persecution linked to her campaign. Two of her colleagues have also been killed.","Watts 2016, Lakhani 2017",
2015,2015,2015,,Western Asia,Yemen,15.5295,47.7869,Trigger,Yemen's civil war leaves millions without access to drinking water,"The Yemeni Interior Ministry claims up to 4,000 people die annually from water-related violence including raids on wells and other fights over water access involving armed groups. A report from Yemen's pro-government newspaper estimates that 70-80% of conflicts in rural areas are about water. The UNFAO estimates that about 20 million Yemenis do not have access to drinking water because of the ongoing civil war.",Whitehead 2015; Almohsen 2015,
1999,1999,1999,,Eastern Europe,Yugoslavia ,42.6612,21.1644,Casualty,NATO targets water plants,"Water processing plants are targeted, among other structures, in an air attack on Yugoslavia during the Kosovo War.",Wikipedia 2018,
2016,2016,2016,,North America,United States,43.2666,-118.845,Trigger,Stand-off over water rights and use resulting in death,"In a standoff over water rights and land use, armed ranchers occupy a federal wildlife refuge in a protest that ends with one death and several arrests.",Wiles 2016,
1948,1948,1948,,Western Asia,"Palestine, Israel",31.7789,35.2258,Weapon,Arabs cut off Jerusalem water,Arab forces cut of West Jerusalem's water supply in first Arab-Israeli war.,Wolf 1995; Wolf 1997,
1965,1966,1965-1966,,Western Asia,"Israel, Jordan, Syria",33.1867,35.6192,Trigger,Israel attacks over Arab water plan,"Fire is exchanged over ""all-Arab"" plan to divert the Jordan River headwaters (Hasbani and Banias) and presumably preempt Israeli National Water Carrier; Syria halts construction of its diversion in July 1966.",Wolf 1995; Wolf 1997,
1958,1958,1958,,Northern Africa,"Egypt, Sudan",15.6111,32.5,Trigger,Egypt and Sudan clash over Nile,"Egypt sends an unsuccessful military expedition into disputed territory amidst pending negotiations over the Nile waters, Sudanese general elections, and an Egyptian vote on Sudan-Egypt unification; Nile Water Treaty signed when pro-Egyptian government elected in Sudan.",Wolf 1997,
1963,1964,1963-1964,,Sub-Saharan Africa,"Ethiopia, Somalia",7.27056,44.2772,Trigger,Ethiopia and Somali nomads fight for desert water,Creation of boundaries in 1948 leaves Somali nomads under Ethiopian rule; border skirmishes occur over disputed territory in Ogaden desert where critical water and oil resources are located; cease-fire is negotiated only after several hundred are killed.,Wolf 1997,
1982,1982,1982,,Western Asia,Lebanon,33.8887,35.5136,Weapon,Israel cuts off Beirut water,Israel cuts off the water supply of Beirut during siege.,Wolf 1997,
1951,1951,1951,,Western Asia,"Israel, Jordan, Syria",33.1084,35.5986,"Weapon, Casualty",Israel and Syria fight over Yarmouk River,Jordan makes public its plans to irrigate the Jordan Valley by tapping the Yarmouk River; Israel responds by commencing drainage of the Huleh swamps located in the demilitarized zone between Israel and Syria; border skirmishes ensue between Israel and Syria.,Wolf 1997; Samson and Charrier 1997,
2002,2002,2002,,Sub-Saharan Africa,Botswana,-21.8895,23.7565,Casualty,Botswana authorities destroy wells of Kalahari Bushmen,"Botswana's president Festus Mogae sends troops to the Kalahari Desert to destroy wells and empty water sources of indigenous Khoisan (also known as Bushmen), ostensibly in an effort to remove them from their ancestral lands and assimilate them into modern society. Critics blame the government of taking away water rights in favor of mining interests and labeled the government's actions a ""siege""; Botswana is condemned by international observers. Against expectations, a band of Bushmen retreat into the desert and survive for years with little outside assistance.",Workman 2009,
2001,2001,2001,,Southeast Asia,Philippines,6.7028,121.969,Weapon,Philippine water poisoned,"The militant Islamist separatist group Abu Sayyaf threatens to poison the water supply in Isabela, a mainly Christian town on Basilan Island in the country's south. In October, residents in six nearby villages are suspected for contamination due to water that smelled like gasoline. Local officials respond by closing pipelines and bringing in drinking water by truck. In the months following the 9/11 attacks on New York, numerous false alarms of terrorist activity are reported around the world.",World Environment News 2001; Fenton Helm and Dutter 2001,
1998,1998,1998,,Central Asia,Tajikistan,40.276,69.8149,Casualty,Guerillas threaten Tajikistan dam,Tajik guerrilla commander Makhmud Khudoberdyev threatens to blow up a dam on the Kairakum channel if his political demands are not met.,World Rivers Review (WRR) 1998,
2014,2014,2014,,Northern Africa,South Sudan,9.55052,31.6514,Casualty,Water pipeline destroyed in South Sudan,"Fighting around Malakal, in South Sudan, displaces thousands and leaves many dead. A military checkpoint and water pipeline to the United Nations Mission in South Sudan (UNMISS) compound and nearby Protection of Civilians area are targeted and destroyed.",World Vision 2014,
2017,2017,2017,6/1/2017,Southern Asia,India,22.973423,78.656894,Trigger,"Police kill five farmers during protests over water shortages in Madhya Pradesh, India","Water shortages due to drought and mismanagement contribute to violent unrest of farmers in Madhya Pradesh, India. During one protest, police shoot into a crowd, killing five protestors.",Wu 2017,
2012,2012,2012,,Sub-Saharan Africa,"Mali, Burkina Faso",13.9665,-2.84288,Trigger,Water clash on border of Mali and Burkina Faso,"A clash along the border between Dogon villagers from Mali and nomadic Fulani herders from Burkina Faso kills at least 30 people, after an earlier agreement to share water and pasture land was revoked. Chaos following a military coup in March is partly responsible for the breakdown in law and order in Mali.",Xinhua News 2012a,
2012,2012,2012,,Sub-Saharan Africa,South Africa,-33.9253,18.4239,Trigger,South Africans riot over water and power,"Protesters in poor communities of Cape Town, South Africa riot over inadequate water and power. Hundreds burn tires, destroy cars, and throw rocks at police in anger over the lack of basic services.",Xinhua News 2012b,
2008,2008,2008,,Sub-Saharan Africa,Nigeria,9.05328,7.45972,Trigger,Violent protests in Nigeria,"A protest over the price of water in Nyanya, Abuja, Nigeria results in violence, including the beating of water vendors.",Yakubu 2008,
2015,2015,2015,4/9/2015,Western Asia,Yemen,16.847653,43.943679,Casualty,Water tank is hit in an air raid in Yemen,"A water tank is damaged in air raids in Sa'ada District, Saada, Yemen.",Yemen Data Project 2018,
2015,2015,2015,5/20/2015,Western Asia,Yemen,15.364042,44.188918,Casualty,Water tank is hit in an air raid in Yemen,"A water tank is damaged in an air raid in Al-Sab'ein District, Capital, Yemen.",Yemen Data Project 2018,
2015,2015,2015,7/13/2015,Western Asia,Yemen,12.775331,45.032651,Casualty,Water tank is hit in an air raid in Yemen,"A water tank is damaged in an air raid in Craiter District, Aden, Yemen.",Yemen Data Project 2018,
2015,2015,2015,7/18/2015,Western Asia,Yemen,16.473816,43.012767,Casualty,Night air raid damages water project in Yemen,"An air raid damages a water project in Harad District, Hajjah, Yemen.",Yemen Data Project 2018,
2015,2015,2015,7/24/2015,Western Asia,Yemen,16.444401,43.777314,Casualty,Water supply well is attacked in Yemen,"A water supply well attacked in Al-Ashah District, Amran, Yemen.",Yemen Data Project 2018,
2015,2015,2015,8/7/2015,Western Asia,Yemen,15.450333,45.019821,Casualty,Water factory is hit in multiple air raids in Yemen,"The Adhban water factory is hit during three air raids that occured in August, in Sirwah District, Marib, Yemen.",Yemen Data Project 2018,
2015,2015,2015,8/18/2015,Western Asia,Yemen,15.7252,43.001268,Casualty,Water trucks are damaged in conflict in Yemen,"Water trucks are damaged during the conflict in Az Zuhrah District, Al Hudaydah, Yemen.",Yemen Data Project 2018,
2015,2015,2015,8/28/2015,Western Asia,Yemen,16.256921,43.943679,Casualty,A water truck is damaged in Yemen,"A water truck is damaged during the conflict in Amran District, Amran, Yemen",Yemen Data Project 2018,
2015,2015,2015,8/29/2015,Western Asia,Yemen,15.707251,44.914133,Casualty,Water project is hit in air raids in Yemen,"A water project in Majzar District, Marib, Yemen is hit during multiple evening air raids. ",Yemen Data Project 2018,
2015,2015,2015,9/16/2015,Western Asia,Yemen,14.545545,44.408735,Casualty,Government water storage infrastructure is damaged in Yemen,"A government-owned water storage unit is damaged in night-time air raids in Dhamar City District, Dhamar, Yemen.",Yemen Data Project 2018,
2015,2015,2015,9/27/2015,Western Asia,Yemen,14.296468,44.375667,Casualty,State water utility infrastructure is attacked in Yemen,"A state run water utility is a casualty to the conflict in Yareem District, Ibb, Yemen.",Yemen Data Project 2018,
2015,2015,2015,"October 4, 13, 2015",Western Asia,Yemen,14.832807,43.157776,Casualty,Irrigation canals are damaged in two attacks in Yemen,"Two attacks spanning a week in Al-Marawi'ah District, Hudaydah, Yemen leave irrigation canals damaged.",Yemen Data Project 2018,
2015,2015,2015,10/16/2015,Western Asia,Yemen,14.433399,44.808098,Casualty,Water infrastructure is attacked in Yemen,"A water project in Al-Sharyah District, Al Bayda, Yemen is damaged. On the same day in Al-Mahabishah
District, Hajja, water wells are also damaged in an air raid.",Yemen Data Project 2018,
2015,2015,2015,10/26/2015,Western Asia,Yemen,16.776282,43.43317,Casualty,Water truck is damaged in Yemen,"A water truck owned by an oil & gas company is damaged in the conflict in Haydan District, Saada, Yemen.",Yemen Data Project 2018,
2015,2015,2015,10/27/2015,Western Asia,Yemen,15.511726,43.903128,Casualty,State water corporation is damaged in Yemen,"A state water corporation is damaged in the conflict in Yemen, in Shibam Kawkaban District, Al Mahwit, Yemen.",Yemen Data Project 2018,
2015,2015,2015,"November 8, 14, 2015",Western Asia,Yemen,16.121817,43.4044,Casualty,Air raids damage water wells in Yemen,"Multiple air raids over the course of a week damage water wells in Bakil Al-Mir and Hayran Districts, Hajjah, Yemen.",Yemen Data Project 2018,
2015,2015,2015,"November 17, 18, 2015",Western Asia,Yemen,16.847653,43.943679,Casualty,Air raids damage water infrastructure in Yemen,"Multiple air raids over the course of two days damage water wells and a water factory in Sihar District, Saada, Yemen.",Yemen Data Project 2018,
2015,2015,2015,11/30/2015,Western Asia,Yemen,16.776282,43.43317,Casualty,Water drilling rig is damaged during conflict in Yemen,"A water drilling rig is damaged in Yemen, in the Haydan District, Saada.",Yemen Data Project 2018,
2015,2015,2015,11/30/2015,Western Asia,Yemen,13.320302,43.247315,Casualty,Air raid hits water well in Yemen,"An early morning air raid hits a water well in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2018,
2015,2015,2015,12/22/2015,Western Asia,Yemen,17.004517,43.199183,Casualty,Air raid hits water well in Yemen,"A water well is damaged during an air raid in Razih District, Saada, Yemen.",Yemen Data Project 2018,
2015,2015,2015,12/30/2015,Western Asia,Yemen,15.70304,43.60393,Casualty,Air raid hits water well in Yemen,"A water well is damaged during an air raid in Mustaba District, Hajjah, Yemen.",Yemen Data Project 2018,
2016,2016,2016,"January 8,10, 2016",Western Asia,Yemen,13.410351,43.622545,Casualty,Two desalination plants are hit by air raids in Yemen,"Air raids damage two desalination plants in Al Mokha and At Ta'iziyah Districts, Taizz, Yemen. ",Yemen Data Project 2018,
2016,2016,2016,1/13/2016,Western Asia,Yemen,15.450333,45.019821,Casualty,Air raids damage wells in Yemen,"Five air raids leave wells damaged in Sirwah District, Marib, Yemen.",Yemen Data Project 2018,
2016,2016,2016,2/7/2016,Western Asia,Yemen,15.450333,45.019821,Casualty,Soqam dam damaged during air raids in Yemen,"The Soqam dam in Sirwah District, Marib, Yemen, is damaged during air raids.",Yemen Data Project 2018,
